Tumor_Sample_Barcode,CCND1_cna_raw,MDM4_cna_raw
MB-0002,2,0
MB-0035,0,2
MB-0039,2,0
MB-0054,2,1
MB-0056,0,0
MB-0062,0,1
MB-0083,2,1
MB-0100,0,0
MB-0101,0,2
MB-0108,0,0
MB-0115,0,1
MB-0123,2,0
MB-0128,0,1
MB-0131,0,2
MB-0136,0,1
MB-0138,0,1
MB-0145,0,1
MB-0152,2,0
MB-0154,0,0
MB-0175,0,0
MB-0178,0,2
MB-0180,0,1
MB-0192,1,0
MB-0200,-1,1
MB-0201,0,2
MB-0204,0,1
MB-0227,0,2
MB-0229,0,0
MB-0232,0,2
MB-0241,1,2
MB-0242,1,2
MB-0244,0,0
MB-0245,0,1
MB-0249,0,1
MB-0253,0,0
MB-0256,0,2
MB-0257,0,2
MB-0258,0,0
MB-0260,0,1
MB-0270,0,1
MB-0303,0,0
MB-0308,0,1
MB-0318,0,0
MB-0320,0,1
MB-0350,-1,0
MB-0352,-1,2
MB-0365,0,0
MB-0367,0,2
MB-0372,0,2
MB-0377,0,1
MB-0383,1,0
MB-0394,0,0
MB-0400,0,1
MB-0401,0,1
MB-0402,0,0
MB-0410,0,1
MB-0420,0,0
MB-0436,-1,0
MB-0439,0,1
MB-0455,2,0
MB-0462,0,0
MB-0463,0,1
MB-0467,2,2
MB-0470,0,1
MB-0471,0,0
MB-0475,2,2
MB-0480,0,1
MB-0481,0,2
MB-0487,0,1
MB-0489,0,0
MB-0504,0,1
MB-0509,0,1
MB-0516,1,0
MB-0531,0,0
MB-0535,0,1
MB-0536,0,0
MB-0541,1,0
MB-0551,0,0
MB-0554,0,2
MB-0570,2,0
MB-0571,0,0
MB-0577,0,0
MB-0584,0,1
MB-0591,0,2
MB-0596,0,1
MB-0605,1,2
MB-0606,0,1
MB-0618,2,1
MB-0623,-1,0
MB-0626,2,2
MB-0636,0,1
MB-0640,0,1
MB-0642,2,2
MB-0655,2,0
MB-0662,0,2
MB-0874,0,1
MB-0882,2,1
MB-0906,0,0
MB-2513,2,1
MB-2517,0,2
MB-2616,0,1
MB-2617,1,1
MB-2618,2,1
MB-2626,0,2
MB-2669,-1,1
MB-2705,0,1
MB-2708,1,1
MB-2711,0,1
MB-2721,0,0
MB-2744,0,0
MB-2747,0,2
MB-2749,0,1
MB-2750,0,2
MB-2763,0,0
MB-2765,0,2
MB-2769,1,0
MB-2771,0,0
MB-2772,2,0
MB-2779,0,1
MB-2790,0,2
MB-2791,0,1
MB-2793,-1,2
MB-2795,0,2
MB-2797,2,0
MB-2803,0,1
MB-2814,0,1
MB-2815,0,1
MB-2819,0,1
MB-2838,2,2
MB-2840,1,1
MB-2845,2,1
MB-2846,2,1
MB-2851,0,0
MB-2854,0,0
MB-2858,2,0
MB-2896,0,0
MB-2901,2,1
MB-2916,0,2
MB-2919,0,2
MB-2927,2,2
MB-2931,0,2
MB-2932,2,0
MB-2933,0,1
MB-2944,0,2
MB-2947,0,0
MB-2951,2,2
MB-2952,0,2
MB-2953,0,1
MB-2960,0,1
MB-2969,0,1
MB-2977,0,0
MB-2990,0,2
MB-2996,-1,0
MB-2999,2,0
MB-3005,0,2
MB-3007,2,0
MB-3008,0,1
MB-3028,1,2
MB-3032,0,2
MB-3037,0,2
MB-3049,2,0
MB-3079,0,2
MB-3085,0,1
MB-3088,0,0
MB-3103,0,1
MB-3104,2,1
MB-3181,2,1
MB-3228,0,0
MB-3235,2,1
MB-3252,0,0
MB-3254,0,1
MB-3271,0,2
MB-3275,2,1
MB-3292,0,0
MB-3298,2,2
MB-3300,0,0
MB-3301,0,2
MB-3329,1,2
MB-3341,2,2
MB-3344,1,1
MB-3351,0,1
MB-3357,0,2
MB-3360,2,2
MB-3361,2,1
MB-3363,0,1
MB-3378,0,1
MB-3379,0,2
MB-3389,2,0
MB-3395,0,1
MB-3417,1,0
MB-3437,0,0
MB-3450,0,2
MB-3452,2,1
MB-3459,0,1
MB-3476,0,0
MB-3487,0,1
MB-3488,2,1
MB-3490,0,1
MB-3500,0,1
MB-3545,0,0
MB-3576,2,2
MB-3582,0,0
MB-3706,0,0
MB-3711,0,2
MB-3748,0,0
MB-3752,1,1
MB-3754,2,1
MB-3797,0,1
MB-3824,2,2
MB-3840,0,0
MB-3850,0,1
MB-3854,0,1
MB-3865,0,1
MB-3874,2,0
MB-3978,2,1
MB-4003,2,1
MB-4004,0,2
MB-4046,2,2
MB-4139,0,1
MB-4145,0,0
MB-4289,2,2
MB-4303,0,1
MB-4351,2,2
MB-4362,0,0
MB-4375,0,0
MB-4407,0,1
MB-4417,2,1
MB-4418,1,1
MB-4529,0,1
MB-4593,0,2
MB-4603,0,2
MB-4607,0,2
MB-4616,0,1
MB-4618,1,2
MB-4626,2,1
MB-4639,2,2
MB-4643,1,1
MB-4653,-1,2
MB-4654,1,1
MB-4665,0,0
MB-4667,0,1
MB-4675,0,1
MB-4679,0,0
MB-4681,0,1
MB-4691,0,1
MB-4708,1,1
MB-4709,0,2
MB-4716,0,2
MB-4717,-1,1
MB-4724,0,0
MB-4738,0,0
MB-4743,2,0
MB-4762,0,0
MB-4769,0,2
MB-4790,2,1
MB-4791,0,0
MB-4796,1,2
MB-4797,2,1
MB-4800,1,2
MB-4802,0,1
MB-4805,1,1
MB-4814,2,0
MB-4825,0,2
MB-4832,0,2
MB-4846,2,2
MB-4849,2,2
MB-4859,0,0
MB-4860,0,1
MB-4866,0,0
MB-4871,-1,0
MB-4878,0,1
MB-4879,2,0
MB-4880,0,0
MB-4882,0,1
MB-4883,1,0
MB-4888,0,0
MB-4896,0,0
MB-4900,0,0
MB-4931,0,0
MB-4937,1,1
MB-4941,0,1
MB-4944,2,2
MB-4974,2,-1
MB-4978,0,1
MB-4986,2,1
MB-4987,0,2
MB-5019,0,2
MB-5033,2,0
MB-5035,0,1
MB-5044,0,0
MB-5048,-1,0
MB-5050,0,1
MB-5054,0,0
MB-5059,0,2
MB-5064,0,0
MB-5065,0,0
MB-5074,0,1
MB-5079,0,1
MB-5084,0,2
MB-5098,0,0
MB-5107,1,1
MB-5113,0,0
MB-5118,1,2
MB-5134,0,1
MB-5135,0,0
MB-5143,0,0
MB-5145,-1,1
MB-5154,0,0
MB-5160,2,1
MB-5161,0,0
MB-5162,0,0
MB-5163,0,1
MB-5164,0,0
MB-5169,2,2
MB-5173,0,1
MB-5183,0,2
MB-5184,0,1
MB-5185,0,1
MB-5186,2,0
MB-5190,0,0
MB-5191,0,2
MB-5195,0,2
MB-5196,2,0
MB-5199,1,1
MB-5200,1,1
MB-5201,0,2
MB-5206,2,0
MB-5214,2,0
MB-5218,0,0
MB-5221,0,2
MB-5222,0,0
MB-5225,1,0
MB-5226,2,1
MB-5230,0,1
MB-5231,1,1
MB-5232,1,0
MB-5235,1,1
MB-5239,0,1
MB-5240,0,0
MB-5244,2,1
MB-5260,1,0
