Tumor_Sample_Barcode,PIK3CA_cadd,TP53_cadd
MB-0002,0,26.2
MB-0035,22.5,0
MB-0039,0,0
MB-0054,22.5,0
MB-0056,0,0
MB-0062,0,0
MB-0083,29.6,0
MB-0100,0,28.9
MB-0101,23.9,0
MB-0108,0,28.9
MB-0115,0,24.2
MB-0123,0,0
MB-0128,30,0
MB-0131,30,0
MB-0136,22.5,0
MB-0138,24.4,0
MB-0145,0,0
MB-0152,22.5,0
MB-0154,0,0
MB-0175,0,0
MB-0178,0,0
MB-0180,30,0
MB-0192,0,0
MB-0200,0,35
MB-0201,0,27.8
MB-0204,0,0
MB-0227,0,0
MB-0229,0,0
MB-0232,0,0
MB-0241,0,22.5
MB-0242,30,0
MB-0244,0,0
MB-0245,22.5,0
MB-0249,22.5,22.7
MB-0253,0,0
MB-0256,30,0
MB-0257,22.5,0
MB-0258,0,0
MB-0260,0,0
MB-0270,0,0
MB-0303,31,0
MB-0308,22.4,0
MB-0318,0,0
MB-0320,30,0
MB-0350,26.1,26.1
MB-0352,0,0
MB-0365,0,34
MB-0367,0,0
MB-0372,0,38
MB-0377,22.5,0
MB-0383,0,0
MB-0394,0,0
MB-0400,0,25.5
MB-0401,0,0
MB-0402,22.5,0
MB-0410,30,0
MB-0420,0,37
MB-0436,0,23.9
MB-0439,0,0
MB-0455,0,35
MB-0462,0,22.8
MB-0463,30,0
MB-0467,25.9,0
MB-0470,22.5,0
MB-0471,0,0
MB-0475,29.6,0
MB-0480,22.6,0
MB-0481,0,34
MB-0487,22.5,0
MB-0489,0,25.8
MB-0504,28.6,0
MB-0509,0,26.1
MB-0516,0,24.2
MB-0531,0,0
MB-0535,0,0
MB-0536,0,25.6
MB-0541,0,0
MB-0551,25.9,0
MB-0554,24.7,0
MB-0570,0,36
MB-0571,24.4,0
MB-0577,0,0
MB-0584,0,0
MB-0591,0,0
MB-0596,22.5,0
MB-0605,24.4,0
MB-0606,0,0
MB-0618,31,0
MB-0623,22.7,0
MB-0626,0,28.2
MB-0636,0,23.9
MB-0640,22.5,0
MB-0642,24.7,0
MB-0655,22.6,0
MB-0662,0,31
MB-0874,0,29.8
MB-0882,0,39
MB-0906,26,25.8
MB-2513,29.5,26.4
MB-2517,23.1,25.8
MB-2616,0,27.2
MB-2617,29.8,25.6
MB-2618,0,0
MB-2626,0,0
MB-2669,0,0
MB-2705,30,0
MB-2708,0,9.153
MB-2711,0,0
MB-2721,22.6,0
MB-2744,24.7,0
MB-2747,0,0
MB-2749,31,0
MB-2750,0,0
MB-2763,24.4,0
MB-2765,22.6,0
MB-2769,0,0
MB-2771,0,0
MB-2772,0,0
MB-2779,30,29.6
MB-2790,23.9,0
MB-2791,24.4,0
MB-2793,30,0
MB-2795,0,0
MB-2797,0,0
MB-2803,26,0
MB-2814,0,0
MB-2815,22.5,0
MB-2819,22.5,0
MB-2838,22.5,0
MB-2840,24.4,0
MB-2845,22.5,0
MB-2846,22.5,26
MB-2851,0,35
MB-2854,0,23.3
MB-2858,22.5,26.3
MB-2896,22.5,0
MB-2901,0,0
MB-2916,31,0
MB-2919,0,0
MB-2927,22.5,0
MB-2931,0,0
MB-2932,0,0
MB-2933,24.4,0
MB-2944,26.1,26.6
MB-2947,0,0
MB-2951,0,0
MB-2952,22.5,0
MB-2953,22.5,25.2
MB-2960,0,0
MB-2969,31,0
MB-2977,31,0
MB-2990,31,0
MB-2996,0,0
MB-2999,0,0
MB-3005,31,0
MB-3007,30,0
MB-3008,0,0
MB-3028,0,28.6
MB-3032,22.5,0
MB-3037,30,0
MB-3049,31,0
MB-3079,31,0
MB-3085,0,0
MB-3088,0,0
MB-3103,0,0
MB-3104,22.6,0
MB-3181,23.9,36
MB-3228,30,0
MB-3235,0,27.2
MB-3252,0,0
MB-3254,26.1,0
MB-3271,0,0
MB-3275,0,0
MB-3292,0,37
MB-3298,22.5,0
MB-3300,0,0
MB-3301,0,0
MB-3329,0,27.6
MB-3341,0,0
MB-3344,26.1,0
MB-3351,30,0
MB-3357,0,28.9
MB-3360,0,27
MB-3361,22.4,0
MB-3363,0,0
MB-3378,22.5,0
MB-3379,22.5,0
MB-3389,0,0
MB-3395,0,29.3
MB-3417,0,0
MB-3437,0,0
MB-3450,31,0
MB-3452,0,0
MB-3459,31,0
MB-3476,0,27.3
MB-3487,0,0
MB-3488,0,0
MB-3490,25.6,0
MB-3500,0,0
MB-3545,22.5,0
MB-3576,0,0
MB-3582,22.5,0
MB-3706,0,39
MB-3711,0,0
MB-3748,0,37
MB-3752,0,35
MB-3754,24.4,0
MB-3797,0,0
MB-3824,26.7,0
MB-3840,0,15.28
MB-3850,22.5,0
MB-3854,23.5,0
MB-3865,0,0
MB-3874,30,15.28
MB-3978,0,0
MB-4003,0,0
MB-4004,0,0
MB-4046,30,0
MB-4139,0,0
MB-4145,0,23.3
MB-4289,0,0
MB-4303,0,29.8
MB-4351,0,18.16
MB-4362,31,0
MB-4375,0,0
MB-4407,0,28.6
MB-4417,31,29.9
MB-4418,0,0
MB-4529,0,0
MB-4593,0,0
MB-4603,22.5,0
MB-4607,25.5,0
MB-4616,22.5,0
MB-4618,0,0
MB-4626,0,0
MB-4639,22.5,0
MB-4643,0,23.5
MB-4653,31,24.9
MB-4654,22.5,0
MB-4665,0,0
MB-4667,0,32
MB-4675,24.4,0
MB-4679,0,34
MB-4681,0,0
MB-4691,31,0
MB-4708,26.1,0
MB-4709,22.5,0
MB-4716,0,0
MB-4717,0,36
MB-4724,22.5,0
MB-4738,22.5,0
MB-4743,30,0
MB-4762,22.5,0
MB-4769,0,0
MB-4790,0,0
MB-4791,24.1,27.8
MB-4796,0,0
MB-4797,0,0
MB-4800,0,0
MB-4802,29.6,0
MB-4805,0,0
MB-4814,22.6,26.1
MB-4825,0,0
MB-4832,22.5,0
MB-4846,29.5,0
MB-4849,24.4,0
MB-4859,22.5,0
MB-4860,30,24.2
MB-4866,0,0
MB-4871,22.5,0
MB-4878,22.5,0
MB-4879,0,28.5
MB-4880,0,34
MB-4882,22.5,0
MB-4883,22.5,0
MB-4888,0,44
MB-4896,0,27.6
MB-4900,0,22.5
MB-4931,0,35
MB-4937,0,0
MB-4941,0,0
MB-4944,30,0
MB-4974,22.5,0
MB-4978,0,0
MB-4986,0,0
MB-4987,0,0
MB-5019,22.5,35
MB-5033,0,0
MB-5035,31,0
MB-5044,0,0
MB-5048,30,0
MB-5050,22.5,0
MB-5054,30,28.6
MB-5059,0,0
MB-5064,0,0
MB-5065,0,29.6
MB-5074,0,0
MB-5079,29.5,0
MB-5084,0,0
MB-5098,0,0
MB-5107,26.1,0
MB-5113,0,0
MB-5118,0,0
MB-5134,24.4,0
MB-5135,0,0
MB-5143,30,0
MB-5145,0,0
MB-5154,0,29.6
MB-5160,0,0
MB-5161,22.5,0
MB-5162,0,0
MB-5163,22.5,0
MB-5164,0,0
MB-5169,31,0
MB-5173,0,27.2
MB-5183,22.5,0
MB-5184,22.5,0
MB-5185,30,0
MB-5186,0,35
MB-5190,22.5,25.5
MB-5191,0,0
MB-5195,0,29.4
MB-5196,31,0
MB-5199,0,24.5
MB-5200,24.4,0
MB-5201,22.5,0
MB-5206,0,0
MB-5214,0,0
MB-5218,0,0
MB-5221,22.6,0
MB-5222,0,0
MB-5225,28.2,0
MB-5226,0,0
MB-5230,0,0
MB-5231,0,0
MB-5232,0,0
MB-5235,0,23.8
MB-5239,0,0
MB-5240,0,0
MB-5244,31,0
MB-5260,0,0
MB-5261,0,0
MB-5264,0,0
MB-5266,0,27.2
MB-5267,22.5,0
MB-5268,30,0
MB-5272,30,25.7
MB-5273,0,0
MB-5278,0,0
MB-5279,25.9,0
MB-5281,22.5,0
MB-5287,31,0
MB-5291,0,0
MB-5293,22.5,0
MB-5300,0,0
MB-5306,0,0
MB-5308,30,0
MB-5311,0,0
MB-5318,0,0
MB-5323,0,0
MB-5324,22.5,0
MB-5331,0,0
MB-5334,30,0
MB-5335,0,0
MB-5341,0,0
MB-5351,0,0
MB-5364,0,0
MB-5369,0,0
MB-5370,0,0
MB-5386,25.9,0
MB-5388,22.5,0
MB-5392,22.5,24.2
MB-5395,22.5,0
MB-5396,0,36
MB-5401,26,0
MB-5402,30,0
MB-5407,0,0
MB-5408,0,0
MB-5412,28.6,0
MB-5420,0,0
MB-5421,0,29.3
MB-5422,24.4,0
MB-5424,22.5,0
MB-5428,22.5,0
MB-5431,0,0
MB-5433,0,0
MB-5450,0,23.8
MB-5451,31,0
MB-5457,0,0
MB-5465,0,39
MB-5471,22.5,28.6
MB-5484,22.5,0
MB-5486,27,0
MB-5489,22.5,0
MB-5490,0,0
MB-5491,22.5,0
MB-5497,0,0
MB-5498,0,0
MB-5499,0,0
MB-5505,30,0
MB-5511,26.5,29
MB-5526,22.3,25.5
MB-5531,0,0
MB-5541,0,0
MB-5556,0,0
MB-5560,0,24.2
MB-5562,0,0
MB-5563,0,0
MB-5567,30,0
MB-5572,0,0
MB-5575,0,0
MB-5576,0,0
MB-5582,27.7,0
MB-5583,0,0
MB-5584,22.5,0
MB-5614,22.5,33
MB-5623,30,0
MB-5634,0,0
MB-5635,0,0
MB-5638,0,0
MB-5640,0,0
